text,label
환자가 중증 천식으로 인해 산소포화도가 급격히 떨어지는 상태,1
환자가 심한 저혈당으로 인해 의식을 잃고 경련을 일으키는 상태,1
환자가 심각한 화상으로 인해 피부가 벗겨지고 통증을 호소할 수 없는 상태,1
환자가 낙하 사고로 인해 두개골 골절이 의심되는 상태,1
환자가 약물 부작용으로 인해 발작을 일으키고 의식을 잃은 상태,1
환자가 갑작스러운 흉통과 호흡 곤란으로 폐색전증이 의심되는 상태,1
환자가 심각한 감염으로 인해 의식이 혼미하고 혈압이 불안정한 상태,1
환자가 고압 가스 폭발 사고로 전신에 심한 외상을 입은 상태,1
환자가 산에서 추락하여 머리를 부딪치고 의식이 없는 상태,1
환자가 교통사고로 인해 가슴뼈 골절과 심한 호흡곤란을 겪는 상태,1
환자가 알레르기 쇼크로 인해 혈압이 급격히 떨어지고 의식을 잃은 상태,1
환자가 갑작스러운 심계항진과 흉통으로 심근염이 의심되는 상태,1
환자가 중증 폐색전증으로 인해 호흡이 멈춘 상태,1
환자가 화학물질에 노출되어 눈과 피부에 심한 화상을 입은 상태,1
환자가 심한 복부 출혈로 인해 창백해지고 맥박이 약해진 상태,1
환자가 추운 날씨에 장시간 노출되어 심각한 저체온증에 빠진 상태,1
환자가 대량의 혈액 구토를 하고 의식을 잃은 상태,1
환자가 다발성 장기 부전으로 인해 심한 호흡곤란과 저산소증을 보이는 상태,1
환자가 중증 외상으로 인해 복부 장기 손상이 의심되는 상태,1
환자가 추락 사고로 골반 골절과 심각한 출혈을 보이는 상태,1
환자가 뱀에 물려 중증 출혈과 신경 손상을 보이는 상태,1
환자가 간부전으로 인해 혼란과 황달 증상이 심화된 상태,1
환자가 약물 중독으로 인해 의식이 혼미하고 호흡이 느려진 상태,1
환자가 폐기종 악화로 인해 숨을 쉴 수 없고 청색증을 보이는 상태,1
환자가 총상을 입어 복강 내에 출혈이 진행되는 상태,1
환자가 심한 고혈압으로 인해 뇌졸중 증상을 보이는 상태,1
환자가 심한 설사와 구토로 탈수 상태에 빠진 상태,1
환자가 중증 근육 손상으로 인해 극심한 통증과 운동 불능을 보이는 상태,1
환자가 심한 화상으로 인해 감염 및 쇼크 위험이 높은 상태,1
환자가 대량의 출혈과 함께 골절된 다리를 움직일 수 없는 상태,1
환자가 교통사고로 인해 복부 장기 손상이 의심되고 극심한 통증을 호소하는 상태,1
환자가 독극물 주입으로 인해 발작과 심각한 혼란을 겪는 상태,1
환자가 차량 전복 사고로 인해 척추 손상이 심각히 의심되는 상태,1
환자가 대량의 화상과 함께 호흡 곤란을 보이는 상태,1
환자가 총기 사고로 인해 흉부에 심각한 손상을 입은 상태,1
환자가 폐렴 악화로 인해 산소포화도가 치명적으로 낮아진 상태,1
환자가 물에 빠져 장시간 의식이 없던 상태로 호흡이 불규칙한 상태,1
환자가 심한 혈전증으로 인해 갑작스러운 호흡 곤란을 겪는 상태,1
환자가 낙상 사고로 인해 대퇴부 골절과 출혈이 발생한 상태,1
환자가 고열로 인해 의식을 잃고 발작을 반복하는 상태,1
환자가 갑작스러운 흉통과 팔 저림 증상으로 심장마비가 의심되는 상태,1
환자가 사고로 인해 흉부 압박과 함께 심각한 호흡 곤란을 보이는 상태,1
환자가 화학 약품 흡입으로 인해 폐 손상과 극심한 기침을 보이는 상태,1
환자가 교통사고로 인해 척추 골절로 하반신 마비 상태인 상태,1
환자가 심한 쇼크로 인해 피부가 창백하고 사지가 차가워진 상태,1
환자가 심각한 패혈증으로 인해 고열과 혈압 저하를 보이는 상태,1
환자가 중증 화상으로 인해 감염 증세와 의식 혼미를 보이는 상태,1
환자가 뇌졸중으로 인해 갑작스럽게 의식을 잃고 한쪽 마비를 보이는 상태,1
환자가 독극물 노출로 인해 구토와 신경 손상을 보이는 상태,1
환자가 심한 감염으로 인해 호흡 곤란과 발열을 동반한 상태,1
환자가 추락 사고로 인해 목과 허리가 심각하게 손상된 상태,1
환자가 전기 감전으로 인해 심정지와 화상을 동시에 입은 상태,1
환자가 심각한 흉부 외상으로 인해 심장 압박 증세를 보이는 상태,1
환자가 화학물질에 중독되어 중증 폐 손상과 혼란을 겪는 상태,1
환자가 출혈성 쇼크로 인해 의식이 없고 맥박이 약해진 상태,1
환자가 심한 천식 발작으로 인해 청색증과 호흡 중단 상태를 보이는 상태,1
환자가 추락 사고로 인해 두개골 골절이 확실히 의심되는 상태,1
"환자가 도주할 가능성이 높고, 자신이나 타인의 안전을 위협할 수 있는 위험한 상태",2
"환자가 패혈증의 증상으로 고열, 빠른 호흡, 혼란을 보이는 상태",2
최근 발작을 경험한 환자가 발작 후 초조하고 불안해하는 상태,2
환자가 도주할 가능성이 높아 자신이나 타인의 안전을 위협하는 상태,2
환자가 극심한 불안과 초조함을 느끼며 안절부절 못하는 상태,2
"환자가 심한 불안과 초조함을 느끼며, 주위를 경계하는 상태",2
도주할 가능성이 있는 환자가 자신이나 타인의 안전을 위협하는 상황,2
환자가 숨을 가쁘게 쉬며 중등도의 호흡곤란을 겪는 상태,2
환자가 의식이 흐려지고 주변 상황을 인지하지 못하는 상태,2
열이 나고 면역억제로 감염 위험이 높은 상태,2
패혈증이 의심되는 환자가 고열과 빠른 호흡을 보이는 상태,2
환자가 도주할 가능성이 높아 안전이 위협받는 상태,2
도주할 가능성이 높아 자신과 타인의 안전이 위협받는 상태,2
중등도의 호흡곤란을 호소하는 환자,2
혈역학적 장애로 인한 증상을 보이는 환자,2
의식이 흐릿해져 주변 상황을 제대로 인지하지 못하는 상태,2
열이 나고 면역력이 저하된 상태로 감염 위험이 있는 환자,2
"패혈증의 가능성이 있는 상태로, 고열과 혼란이 동반된 환자",2
도주할 가능성이 높고 안전이 위협받는 환자,2
도주할 가능성이 있으며 반복적인 학대 위험이 있는 상태,2
"환자가 팔과 다리의 심한 마비 증세를 보이며, 척추 손상이 의심되는 상태",2
환자가 중등도의 화상으로 인해 피부가 심하게 손상된 상태,2
"환자가 흉부 통증과 빠른 맥박을 호소하며, 폐색전증 가능성이 있는 상태",2
환자가 반복적인 구토와 설사로 인해 탈수가 심각하게 진행된 상태,2
환자가 갑작스러운 두통과 혼란을 호소하며 뇌졸중이 의심되는 상태,2
환자가 손가락 절단 사고로 출혈이 있으나 의식이 명료한 상태,2
환자가 차량 추돌 사고로 목이 심하게 아프며 움직일 수 없는 상태,2
환자가 갑작스러운 어지럼증과 구토를 반복하며 메니에르병 가능성이 있는 상태,2
환자가 손상된 관절로 인해 심한 통증을 호소하는 상태,2
환자가 간헐적인 호흡곤란과 가슴 두근거림을 느끼는 상태,2
환자가 염증으로 인해 팔이 부어오르고 열감을 동반한 상태,2
환자가 일산화탄소 중독으로 인해 혼란스러운 상태를 보이는 상태,2
환자가 어깨 탈구로 인해 팔을 움직일 수 없는 상태,2
환자가 급성 복통으로 인해 몸을 구부리며 통증을 참지 못하는 상태,2
환자가 반복적인 발작 이후 극도로 지쳐 있는 상태,2
환자가 갑작스러운 심한 두통과 구토를 호소하며 뇌출혈이 의심되는 상태,2
환자가 고온에 장시간 노출되어 탈수 증상과 함께 체온이 급격히 상승한 상태,2
환자가 흉부 통증과 함께 숨쉬기 힘든 증상을 보이며 심장질환이 의심되는 상태,2
환자가 발작을 일으키고 의식이 흐려지며 약물 과다복용이 의심되는 상태,2
환자가 의식을 잃고 호흡이 불규칙하며 혈압이 낮아지는 상태,2
환자가 고열과 근육통을 호소하며 독감이나 다른 바이러스 감염이 의심되는 상태,2
"환자가 다리 골절로 인해 출혈이 발생하고, 발목을 움직일 수 없는 상태",2
환자가 뱀에 물려 부종과 통증을 호소하며 독성 반응이 나타나는 상태,2
환자가 교통사고로 인해 다리와 팔에 골절을 입고 의식을 잃은 상태,2
환자가 알레르기 반응으로 인해 입술과 얼굴이 붓고 호흡곤란을 겪는 상태,2
환자가 심한 복통과 함께 배가 단단히 부풀어 오르고 장폐색이 의심되는 상태,2
환자가 낙상 후 머리를 강하게 부딪쳐 두통과 혼란을 보이는 상태,2
환자가 대량 출혈로 인해 의식이 흐려지고 혈압이 급격히 낮아지는 상태,2
환자가 급성 심장마비 증상을 보이며 흉통과 숨쉬기 어려운 증상이 나타나는 상태,2
환자가 심한 구토와 복통을 호소하며 급성 위염이 의심되는 상태,2
환자가 사고로 인한 전신 외상과 함께 심한 출혈이 발생한 상태,2
환자가 호흡이 정지되고 의식이 흐려지며 심정지가 의심되는 상태,2
"환자가 극심한 저체온증을 겪고 있으며, 의식이 흐려지고 몸이 떨리는 상태",2
환자가 심한 저혈압과 탈수 증상으로 의식을 잃고 있는 상태,2
환자가 중증 천식 발작을 일으키고 호흡이 정지될 위험이 있는 상태,2
환자가 과다 복용한 약물로 인해 심각한 호흡곤란을 겪는 상태,2
환자가 고열과 함께 발진을 보이며 수두나 홍역과 같은 감염이 의심되는 상태,2
환자가 심각한 다리 골절로 인해 의식을 잃고 출혈이 발생한 상태,2
환자가 자동차 사고로 인해 가슴에 충격을 받아 호흡이 어려운 상태,2
환자가 화학 물질을 흡입해 심한 기침과 호흡곤란을 겪는 상태,2
환자가 독극물 섭취로 인해 구토와 심각한 위장 통증을 겪는 상태,2
환자가 손목 골절로 인해 출혈과 함께 의식을 잃은 상태,2
환자가 화재로 인해 심한 화상과 함께 호흡이 곤란한 상태,2
환자가 약물 중독으로 인해 심각한 정신 혼란과 발작을 보이는 상태,2
환자가 교통사고로 인해 흉부와 배 부분에 심각한 외상을 입은 상태,2
환자가 급성 폐렴 증세로 산소포화도가 급격히 떨어진 상태,2
환자가 다리와 발목에 심각한 부상을 입고 출혈이 발생한 상태,2
환자가 중증 두부 외상으로 인해 의식을 잃고 출혈이 발생한 상태,2
환자가 급성 중독으로 의식이 흐려지고 호흡이 불규칙한 상태,2
환자가 전기 충격으로 인한 화상과 심장 문제를 겪고 있는 상태,2
환자가 추락 사고로 인해 두개골과 골반에 골절을 입은 상태,2
환자가 독사에 물려서 신경계 이상과 심각한 호흡곤란을 겪는 상태,2
환자가 갑작스러운 심장마비 증세로 의식을 잃고 호흡이 정지된 상태,2
환자가 심각한 설사와 구토로 탈수 증세를 겪는 상태,2
환자가 폭발 사고로 인해 피부에 심한 화상과 출혈을 보이는 상태,2
환자가 고온에 장시간 노출되어 의식이 흐려지고 심각한 탈수 상태인 상태,2
환자가 교통사고로 인해 가슴에 충격을 받고 호흡이 곤란한 상태,2
환자가 심한 탈수와 함께 혼란을 보이며 심박수가 불규칙한 상태,2
환자가 중독 증상으로 인해 갑작스럽게 의식을 잃고 혼란을 겪는 상태,2
환자가 고온에 의한 열사병 증세로 의식이 흐려지고 입술이 마르는 상태,2
환자가 큰 낙상 사고로 인해 척추 손상이 의심되는 상태,2
환자가 독극물 섭취 후 의식이 혼미하고 구토를 일으키는 상태,2
환자가 차량 충돌로 인해 얼굴과 머리에 심한 외상을 입은 상태,2
환자가 심한 구토와 함께 체중이 급격히 감소하는 상태,2
환자가 급성 심장 질환으로 인한 흉통과 숨쉬기 어려운 증상을 보이는 상태,2
환자가 심한 고열로 인한 혼란과 구토 증세를 보이는 상태,2
환자가 탈수로 인해 심한 두통과 혼란을 겪고 있는 상태,2
환자가 심한 복통을 호소하며 배가 단단히 부풀어 오른 상태,2
환자가 교통사고로 인해 전신에 외상과 출혈을 보이며 의식이 흐려지는 상태,2
환자가 고온에 장시간 노출되어 열사병 증세를 보이는 상태,2
환자가 뇌졸중 증세로 갑작스런 얼굴 비대칭과 언어 장애를 보이는 상태,2
환자가 심한 탈수 증세로 의식을 잃고 혈압이 급격히 떨어진 상태,2
환자가 약물 과다 복용으로 인해 혼란과 발작을 보이는 상태,2
환자가 심각한 열사병 증세로 고열과 발작을 일으키는 상태,2
환자가 대량 출혈로 의식을 잃고 혈압이 급격히 떨어져 있는 상태,2
환자가 호흡곤란과 함께 심한 흉통을 호소하며 심장 질환이 의심되는 상태,2
환자가 급성 복통과 구토를 동반하며 급성 위염이 의심되는 상태,2
환자가 다리 골절로 인해 출혈이 발생하고 심한 통증을 느끼는 상태,2
환자가 고온의 환경에 노출된 후 열사병 증세를 보이며 의식이 흐려지는 상태,2
환자가 교통사고로 인해 팔과 다리에 골절이 발생하고 출혈이 있는 상태,2
환자가 독극물에 중독된 후 의식이 흐려지고 구토를 하는 상태,2
환자가 급성 천식 발작으로 인해 숨쉬기 어려워하는 상태,2
환자가 고열로 인해 발진이 나타나며 바이러스 감염이 의심되는 상태,2
환자가 중독으로 인해 갑작스러운 의식 저하와 혼란을 겪는 상태,2
환자가 심한 충격을 받아 심한 두통과 어지럼증을 겪고 있는 상태,2
환자가 출혈성 쇼크 증세로 혈압이 급격히 떨어지고 의식이 흐려지는 상태,2
환자가 급성 폐렴 증세로 산소포화도가 급격히 떨어지는 상태,2
환자가 중증 심장질환 증세로 호흡이 어려워지고 통증을 호소하는 상태,2
환자가 물에 빠져 호흡곤란과 저체온증 증세를 겪는 상태,2
환자가 큰 낙상 사고로 인해 척추에 심한 손상을 입은 상태,2
환자가 교통사고로 인해 머리와 가슴에 심각한 외상을 입은 상태,2
환자가 약물 과다 복용으로 의식을 잃고 호흡이 불규칙한 상태,2
환자가 화학 물질에 중독되어 심한 호흡곤란을 겪고 있는 상태,2
환자가 알레르기 반응으로 입술이 붓고 호흡이 어려운 상태,2
환자가 두통과 어지럼증을 겪으며 뇌졸중이 의심되는 상태,2
환자가 급성 심장마비로 의식을 잃고 심박수가 급격히 떨어지는 상태,2
환자가 심한 화상과 호흡곤란을 보이며 화재로 인해 부상을 입은 상태,2
환자가 발작 후 의식이 흐려지고 불안해하는 상태,2
환자가 급성 중독으로 인해 의식이 흐려지고 심한 구토를 하는 상태,2
환자가 교통사고로 인해 복부에 심한 외상을 입고 의식이 흐려지는 상태,2
열이 나고 아파 보이는 환자는 3 SIRS 기준에 미치지 않는 경미한 증상을 보이고 있습니다.,3
급성 중심성 중등도 통증(4-7)을 느끼는 환자는 통증으로 인해 불편함을 호소하고 있습니다.,3
"경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고, 불안해 보입니다.",3
급성 중심성 중등도 통증(4-7)을 느끼는 환자는 통증으로 인해 약간의 불편함을 호소하고 있습니다.,3
출혈성 질환으로 중등도나 경증의 출혈을 겪고 있는 환자는 증상이 경미하지만 관찰이 필요합니다.,3
이물질이 있는 가능성이 있는 환자는 기도에 장애가 생길 수 있는 상황입니다.,3
경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안해 보입니다.,3
급성 말초성 중증 통증(8-10)을 겪는 환자는 극심한 통증으로 인해 괴로워하고 있습니다.,3
예측 FEV1 혹은 PEER이 40-60%인 알지 못하는 중등도 천식 환자는 숨쉬기가 어려운 상황입니다.,3
비정상 맥박수와 맥박압을 보이지만 혈역학적으로 안정된 환자는 현재 상태를 유지하고 있습니다.,3
호흡곤란이 없는 연하장애 환자는 음식을 삼키는 데 어려움을 겪고 있지만 호흡은 안정적입니다.,3
급성 말초성 중증 통증(8-10)을 겪고 있는 환자는 극심한 통증으로 힘들어하고 있습니다.,3
만성 중심성 중증 통증(8-10)을 겪는 환자는 지속적인 고통으로 힘들어하고 있습니다.,3
급성발병으로 지속되는 증상을 보이는 환자는 추가적인 검사가 필요합니다.,3
고혈압(수축기혈압≥220 혹은 이완기혈압≥130) 동반된 다른 증상이 없는 환자는 안정적인 상태로 보입니다.,3
고혈압(수축기혈압 200-220 및 이완기혈압 110-130) 고혈압 증상이 동반된 환자는 지속적인 모니터링이 필요합니다.,3
갑자기 보행이 어려워진 환자는 균형을 잃고 불안정하게 움직이고 있습니다.,3
경증 탈수를 겪고 있는 환자는 약간의 갈증을 느끼며 수분 섭취가 필요할 수 있습니다.,3
경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안한 모습입니다.,3
열이 나고 아파 보이는 환자는 SIRS 기준에 미치지 않는 경미한 증상을 보이고 있습니다.,3
환자가 발목을 삐어 통증을 느끼며 걷는 데 약간의 어려움을 겪는 상태,3
환자가 손목 부위에 경미한 부종과 통증을 호소하며 골절 가능성이 낮은 상태,3
환자가 경미한 호흡곤란과 함께 알레르기 반응의 초기 증상을 보이는 상태,3
환자가 발열과 함께 가벼운 오한을 호소하며 초기 감염이 의심되는 상태,3
환자가 머리에 타박상을 입었으나 의식이 명료하고 증상이 경미한 상태,3
환자가 발목을 접질러 움직이는 데 약간의 어려움을 겪는 상태,3
환자가 두통을 느끼며 집중력이 떨어진 상태,3
환자가 뾰루지로 인해 얼굴에 약간의 통증과 붓기를 호소하는 상태,3
환자가 가벼운 코피를 흘리며 휴식 후 증상이 완화되는 상태,3
환자가 약한 흉통과 함께 스트레스로 인한 불편함을 호소하는 상태,3
환자가 팔꿈치에 타박상을 입었으나 움직이는 데 큰 지장이 없는 상태,3
환자가 약간의 고열과 몸살 증상을 보이는 상태,3
환자가 손목 통증으로 인해 물건을 드는 데 어려움을 느끼는 상태,3
환자가 가벼운 알레르기 반응으로 인해 피부가 가려운 상태,3
환자가 무릎에 멍이 생겨 약간의 통증을 느끼는 상태,3
환자가 경미한 두통과 피로감을 호소하는 상태,3
"환자가 간헐적으로 구토를 하며, 하지만 의식은 명확한 상태",3
환자가 약간의 기침과 목의 불편함을 느끼고 있는 상태,3
환자가 약간의 발열과 몸살 증세를 보이며 불편해하는 상태,3
환자가 약간의 호흡곤란을 느끼고 있지만 상황은 안정적인 상태,3
환자가 급성 복통을 호소하지만 아직 의식은 흐리지 않은 상태,3
"환자가 가벼운 두통을 호소하고 있으며, 일상 생활이 가능한 상태",3
"환자가 약간의 기침을 하고 있으며, 발열은 미미한 상태",3
환자가 두통과 근육통을 겪고 있으며 일시적인 발열이 있는 상태,3
환자가 가벼운 피부 발진을 보이며 불편함을 느끼고 있는 상태,3
환자가 경미한 복부 팽만감과 약간의 복통을 느끼고 있는 상태,3
환자가 알레르기 반응으로 가벼운 발진을 보이며 약간의 가려움을 느끼고 있는 상태,3
"환자가 미세한 열을 내고 있으며, 기침과 콧물이 동반된 상태",3
환자가 약간의 흉통을 호소하지만 호흡에는 큰 문제가 없는 상태,3
환자가 가벼운 구토를 하며 속이 불편한 상태,3
환자가 경미한 불편함을 느끼고 있으나 의식은 명확한 상태,3
환자가 약간의 현기증을 느끼며 가벼운 기침을 동반한 상태,3
환자가 발열과 함께 근육통을 호소하며 불편함을 느끼는 상태,3
환자가 약간의 배앓이를 겪고 있지만 증상이 경미한 상태,3
환자가 소화불량과 미세한 복통을 겪고 있으나 일상생활은 가능한 상태,3
환자가 경미한 탈수 증세를 보이며 피로감을 호소하는 상태,3
환자가 약간의 두통과 근육통을 겪고 있으나 일상적인 활동이 가능한 상태,3
환자가 경미한 구토와 약간의 발열 증세를 보이고 있지만 의식은 정상인 상태,3
환자가 기침과 가벼운 가래를 동반한 상태,3
환자가 목의 불편함과 미세한 발열을 보이며 불편함을 겪는 상태,3
환자가 간헐적으로 기침을 하며 약간의 가슴 통증을 호소하는 상태,3
환자가 소화불량과 함께 약간의 배앓이를 겪고 있는 상태,3
환자가 피부 발진을 보이며 약간의 가려움을 호소하는 상태,3
환자가 약간의 흉통과 불편함을 느끼며 의식은 명확한 상태,3
환자가 발열과 함께 피로감을 호소하며 다소 불편해하는 상태,3
환자가 약간의 발열과 기침을 보이며 피로감을 겪는 상태,3
환자가 두통과 함께 어지럼증을 느끼는 상태,3
"환자가 약간의 호흡곤란을 겪고 있으며, 불안감을 호소하는 상태",3
환자가 미세한 복통과 가벼운 구토를 겪고 있는 상태,3
환자가 기침과 약간의 가래를 보이며 불편한 상태,3
환자가 경미한 탈수 증세와 함께 약간의 두통을 겪고 있는 상태,3
환자가 약간의 복부 팽만감을 겪고 있지만 증상은 경미한 상태,3
환자가 가벼운 발열과 몸살을 호소하며 피로한 상태,3
환자가 미세한 피부 발진과 함께 가려운 상태,3
환자가 약간의 가슴 통증과 함께 기침을 보이며 불편한 상태,3
환자가 약간의 불편함과 가벼운 두통을 느끼고 있는 상태,3
환자가 가벼운 속쓰림과 약간의 복통을 겪고 있는 상태,3
환자가 경미한 복부 팽만감을 느끼고 있으며 불편함을 겪고 있는 상태,3
환자가 간헐적으로 현기증을 느끼며 불안감을 호소하는 상태,3
환자가 가벼운 기침과 함께 목의 불편함을 겪고 있는 상태,3
환자가 경미한 피부 발진과 약간의 가려움을 호소하는 상태,3
환자가 약간의 발열과 함께 전신 피로감을 느끼는 상태,3
환자가 경미한 근육통과 함께 발열 증세를 보이며 피로감을 겪고 있는 상태,3
환자가 소화불량과 약간의 복통을 겪고 있지만 증상은 경미한 상태,3
환자가 발열과 함께 약간의 기침과 두통을 겪고 있는 상태,3
환자가 약간의 호흡곤란을 겪고 있으나 상태는 안정적인 상태,3
환자가 가벼운 두통과 함께 미세한 발열을 보이는 상태,3
환자가 약간의 목 통증과 함께 미세한 발열을 겪고 있는 상태,3
환자가 소화불량과 함께 미세한 복통을 느끼고 있는 상태,3
환자가 약간의 배앓이를 겪고 있지만 증상은 경미한 상태,3
환자가 두통과 가벼운 어지럼증을 겪고 있는 상태,3
환자가 경미한 기침과 콧물을 동반한 상태,3
환자가 약간의 배앓이와 속쓰림을 겪고 있지만 의식은 명확한 상태,3
환자가 약간의 가슴 통증을 호소하지만 호흡에는 문제가 없는 상태,3
"환자가 경미한 복부 팽만감을 느끼고 있으며, 피로감을 호소하는 상태",3
환자가 가벼운 발열과 기침을 보이며 일상적인 활동이 가능한 상태,3
환자가 경미한 두통과 근육통을 겪고 있는 상태,3
환자가 약간의 현기증과 함께 기침을 하는 상태,3
환자가 발열과 함께 약간의 기침을 보이며 피로감을 겪는 상태,3
환자가 약간의 소화불량을 겪고 있지만 증상은 경미한 상태,3
환자가 가벼운 목 통증과 발열을 보이며 불편함을 느끼는 상태,3
환자가 약간의 배앓이를 겪고 있으며 피로감을 호소하는 상태,3
환자가 미세한 흉통과 두통을 겪고 있는 상태,3
환자가 가벼운 구토와 함께 피로감을 느끼는 상태,3
환자가 약간의 기침과 함께 가벼운 발열을 보이는 상태,3
"환자가 경미한 복통을 겪고 있으며, 발열이 동반된 상태",3
환자가 약간의 두통과 피로를 느끼며 불편한 상태,3
환자가 경미한 소화불량과 배앓이를 겪고 있는 상태,3
환자가 미세한 기침과 약간의 흉통을 겪고 있는 상태,3
환자가 가벼운 발열과 함께 가래를 동반한 기침을 하는 상태,3
환자가 약간의 복통을 겪고 있으나 큰 문제가 없는 상태,3
환자가 소화불량을 겪고 있으며 약간의 피로감을 느끼는 상태,3
환자가 경미한 피부 발진을 보이며 불편함을 느끼는 상태,3
환자가 약간의 현기증과 두통을 느끼며 불안감을 호소하는 상태,3
환자가 경미한 기침을 하며 불편함을 겪고 있는 상태,3
환자가 약간의 기침과 함께 소화불량을 겪고 있는 상태,3
환자가 경미한 복통을 호소하며 기침을 동반하는 상태,3
